Address:,TCPIP0::192.168.254.118::hislip0::INSTR,,Analog Channels,,
Model:,DSOS604A,,Time (s),3 (VOLT),
Serial Number:,MY58150111,,-4.99958090563E-07,-0.000583254101456987,
Firmware Version:,06.55.00702,,-4.99908090563E-07,-0.000430414363108866,
Start Time:,2023-07-03 11:10:10.507,,-4.99858090563E-07,-0.000672849810143816,
Capture#:,10,,-4.99808090563E-07,-0.000999610630060488,
,,,-4.99758090563E-07,-4.56798493360111E-05,
,,,-4.99708090563E-07,0.00212569850236832,
,,,-4.99658090563E-07,0.00497695017293154,
,,,-4.99608090563E-07,0.00921957049604316,
,,,-4.99558090563E-07,0.0140946311157677,
,,,-4.99508090563E-07,0.0177258924854868,
,,,-4.99458090563E-07,0.0202082206496925,
,,,-4.99408090563E-07,0.0217840510554197,
,,,-4.99358090563E-07,0.0210409337068995,
,,,-4.99308090563E-07,0.0177680551719277,
,,,-4.99258090563E-07,0.0136361119007233,
,,,-4.99208090563E-07,0.00951470930112919,
,,,-4.99158090563E-07,0.00538803636572993,
,,,-4.99108090563E-07,0.00171988264537504,
,,,-4.99058090563E-07,-0.00116299104001882,
,,,-4.99008090563E-07,-0.00323423301142611,
,,,-4.98958090563E-07,-0.00424613748600677,
,,,-4.98908090563E-07,-0.00405113506121779,
,,,-4.98858090563E-07,-0.00305504159405245,
,,,-4.98808090563E-07,-0.00191664906014921,
,,,-4.98758090563E-07,-0.00104177331650135,
,,,-4.98708090563E-07,-0.000635957459508063,
,,,-4.98658090563E-07,-0.000799337869466399,
,,,-4.98608090563E-07,-0.00140015615124867,
,,,-4.98558090563E-07,-0.00198516342561561,
,,,-4.98508090563E-07,-0.00201151510464115,
,,,-4.98458090563E-07,-0.0014950221957406,
,,,-4.98408090563E-07,-0.000936366600399197,
,,,-4.98358090563E-07,-0.000493658392770158,
,,,-4.98308090563E-07,-0.000156356901243271,
,,,-4.98258090563E-07,-0.000145816229633056,
,,,-4.98208090563E-07,-0.00037771100505779,
,,,-4.98158090563E-07,-0.000583254101456987,
,,,-4.98108090563E-07,-0.000894203913958336,
,,,-4.98058090563E-07,-0.0011471800326035,
,,,-4.98008090563E-07,-0.000894203913958336,
,,,-4.97958090563E-07,-0.000641227795313171,
,,,-4.97908090563E-07,-0.00086258189912769,
,,,-4.97858090563E-07,-0.000894203913958336,
,,,-4.97808090563E-07,-0.000646498131118278,
,,,-4.97758090563E-07,-0.000852041227517475,
,,,-4.97708090563E-07,-0.00110501734616264,
,,,-4.97658090563E-07,-0.000904744585568551,
,,,-4.97608090563E-07,-0.000931096264594089,
,,,-4.97558090563E-07,-0.00144231883768953,
,,,-4.97508090563E-07,-0.00179016100082663,
,,,-4.97458090563E-07,-0.00181651267985217,
,,,-4.97408090563E-07,-0.00141596715866399,
,,,-4.97358090563E-07,-0.000593794773067202,
,,,-4.97308090563E-07,-2.98688419206883E-05,
,,,-4.97258090563E-07,7.02675383763562E-05,
,,,-4.97208090563E-07,0.0002389182841398,
,,,-4.97158090563E-07,0.000233647948334692,
,,,-4.97108090563E-07,-0.000277574624760746,
,,,-4.97058090563E-07,-0.000635957459508063,
,,,-4.97008090563E-07,-0.000704471824974462,
,,,-4.96958090563E-07,-0.00114190969679839,
,,,-4.96908090563E-07,-0.0017005652921398,
,,,-4.96858090563E-07,-0.00172164663536023,
,,,-4.96808090563E-07,-0.0014950221957406,
,,,-4.96758090563E-07,-0.00127893842773119,
,,,-4.96708090563E-07,-0.00084150055590726,
,,,-4.96658090563E-07,-0.000382981340862898,
,,,-4.96608090563E-07,-0.00013527555802284,
,,,-4.96558090563E-07,4.39158593508182E-05,
